Question	Answer	Category
What is a Web Application Firewall (WAF)?	A specialized **L7 firewall** protecting web applications by filtering and monitoring HTTP/HTTPS traffic.\n\nDefends against: SQL injection, XSS, CSRF, and other web-specific attacks.\n\nComplementary to a network firewall, not a replacement.	Firewall Technologies, WAF, Web Application Security
A scenario requires blocking SQL injection attacks against a web application. Which firewall type?	**WAF** (Web Application Firewall) or an NGFW with web-application-protection features.\n\nA traditional packet-filtering or stateful firewall **cannot inspect HTTP payload** for injection patterns.	Firewall Technologies, WAF, Layer 7 Filtering
What is a screened subnet (DMZ) architecture?	A network architecture using **two firewalls** to create a buffer zone (the **DMZ**) between the internet and the internal network.\n\n- Public-facing services (web, mail) live in the DMZ\n- Internal systems remain protected behind the second firewall\n\nThe canonical secure perimeter design.	Network Architecture, Screened Subnet, DMZ
What is a bastion host?	A **hardened, single-purpose host** exposed to an untrusted network.\n\n- Runs minimal services\n- Heavily patched and monitored\n- Typically serves as a controlled entry point (jump host)\n- The first system an attacker would reach	Network Architecture, Bastion Host, Hardened Systems
What is the difference between a VLAN and microsegmentation?	- **VLAN** — logically separates broadcast domains at the data link layer; **macro-segmentation** between user groups\n- **Microsegmentation** — fine-grained policy controls at the workload or VM level, isolating individual systems even within the same VLAN\n\n*Microsegmentation is the more granular control.*	Network Segmentation, VLAN, Microsegmentation
What does IPsec's Authentication Header (AH) provide?	**Integrity and authentication only.** Does NOT provide confidentiality (no encryption of payload).\n\nRarely used alone in modern deployments; ESP is preferred.	VPN Technologies, IPsec, Authentication Header
What does IPsec's Encapsulating Security Payload (ESP) provide?	**Confidentiality (encryption) PLUS integrity and authentication.**\n\nThe most common IPsec component in modern deployments.	VPN Technologies, IPsec, Encapsulating Security Payload
What is the difference between IPsec transport mode and tunnel mode?	- **Transport mode** — encrypts/authenticates only the **IP payload**; original IP header remains visible; used for **host-to-host**\n- **Tunnel mode** — encapsulates the **entire original IP packet** in a new IP header; used for **site-to-site VPNs**	VPN Technologies, IPsec, Transport/Tunnel Modes
What is the difference between IKE Phase 1 and Phase 2?	- **Phase 1** — establishes a secure ISAKMP/IKE channel with mutual authentication and key exchange (Diffie-Hellman)\n- **Phase 2** — negotiates the actual **IPsec Security Associations (SAs)** used for protecting data (selecting AH/ESP, encryption algorithm, and keys)	VPN Technologies, IKE, Key Exchange
What is WEP and is it secure?	**WEP** (Wired Equivalent Privacy, 1997) — **CRYPTOGRAPHICALLY BROKEN.**\n\n- Uses RC4 with 64- or 128-bit key\n- Broken due to IV reuse and other flaws\n- Should **never** be used\n- Breaking it takes minutes with common tools	Wireless Security, WEP, Legacy Protocols
What encryption did WPA use?	**TKIP** (Temporal Key Integrity Protocol) — a transitional fix layered over WEP hardware.\n\nNot AES. WPA was a stopgap until WPA2.	Wireless Security, WPA, TKIP
What encryption does WPA2 use?	**AES with CCMP** (Counter Mode with Cipher Block Chaining MAC Protocol).\n\n- Standardized in 2004\n- Fundamentally sound; vulnerable to KRACK attack but widely deployed\n- The pre-WPA3 standard	Wireless Security, WPA2, AES/CCMP
What is new in WPA3?	- **Personal mode:** SAE (Simultaneous Authentication of Equals, aka Dragonfly) replaces WPA2's PSK 4-way handshake; provides **forward secrecy** and resistance to offline dictionary attacks\n- **Enterprise mode:** 192-bit security suite for sensitive environments	Wireless Security, WPA3, SAE/Dragonfly
What is 802.1X?	**Port-based network access control** with three roles:\n\n1. **Supplicant** — the client\n2. **Authenticator** — the switch or AP\n3. **Authentication Server** — typically RADIUS\n\nUses **EAP** as the authentication framework. Works on both wired ports and wireless APs.	Network Access Control, 802.1X, AAA
What is EAP-TLS?	An EAP method requiring **mutual certificate-based authentication** — both client and server present and verify certificates.\n\n- Strongest commonly-deployed EAP method\n- Requires a **PKI** for client certificates	Network Access Control, 802.1X, EAP-TLS
What is PEAP?	**Protected EAP** — establishes a TLS tunnel using only a **server certificate**, then runs an inner authentication protocol (often MS-CHAPv2 or EAP-TLS) inside the tunnel.\n\nCommon because it doesn't require client certificates.	Network Access Control, 802.1X, PEAP
What is the difference between an IDS and an IPS?	- **IDS** (Intrusion Detection System) — detects suspicious activity and generates alerts; does **NOT block** traffic\n- **IPS** (Intrusion Prevention System) — detects and actively **blocks or modifies** traffic\n\n*IDS = monitoring; IPS = enforcement.*	Intrusion Detection/Prevention, IDS, IPS
What is the difference between a NIDS and a HIDS?	- **NIDS** (Network IDS) — monitors traffic on a network segment; deployed on a SPAN/mirror port\n- **HIDS** (Host IDS) — monitors a single host's activity (file integrity, processes, logs)\n\nThey complement each other.	Intrusion Detection/Prevention, NIDS, HIDS
What is the difference between signature-based and anomaly-based detection?	- **Signature-based** — matches traffic against known attack patterns; effective against known threats but misses zero-days\n- **Anomaly-based** — establishes baseline of normal behavior and flags deviations; can catch zero-days but more false positives	Intrusion Detection/Prevention, Signature-Based, Anomaly-Based
What is the operational risk of an in-line IPS vs. a passive IDS?	- **IPS** can fail-open (allow all traffic) or fail-closed (block all traffic) on failure; false positives block legitimate traffic\n- **IDS** has no risk of blocking but cannot prevent attacks in real-time	Intrusion Detection/Prevention, Operational Risk, Fail-Open/Closed
What does DNSSEC provide?	DNSSEC adds **digital signatures** to DNS responses so resolvers can verify authenticity and integrity.\n\n- Does **NOT encrypt** queries or responses\n- Defends against **cache poisoning**	DNS Security, DNSSEC, Origin Authentication
What is the difference between DoH and DoT?	- **DoH** (DNS over HTTPS) — encrypts DNS over HTTPS on port **443**; blends with normal web traffic; harder to block\n- **DoT** (DNS over TLS) — uses port **853**; more easily distinguished from web traffic\n\nBoth encrypt DNS queries.	DNS Security, DoH, DoT
What does SPF do?	**Sender Policy Framework** — domain owner publishes a DNS record listing IP addresses authorized to send email on behalf of the domain.\n\nReceivers check inbound mail's sending IP against the SPF record.\n\nDefends against **spoofed sender domains.**	Email Security, SPF, Sender Authorization
What does DKIM do?	**DomainKeys Identified Mail** — sending server signs outgoing messages with a private key; public key published in DNS.\n\nReceivers verify the signature, confirming the message wasn't altered and originated from an authorized sender.	Email Security, DKIM, Message Integrity
What does DMARC do?	**Domain-based Message Authentication, Reporting, and Conformance** — builds on SPF and DKIM.\n\nPublishes a policy (**none, quarantine, reject**) telling receivers what to do with messages that fail SPF/DKIM checks, and provides reporting to the domain owner.\n\nThe **enforcement layer** for email authentication.	Email Security, DMARC, Policy Enforcement
What protocols are insecure and what are their secure replacements?	- **Telnet** → SSH (port 22)\n- **FTP** → SFTP (SSH, port 22) or FTPS (FTP+TLS)\n- **HTTP** → HTTPS (port 443)\n- **POP3/IMAP** cleartext → POP3S (995) / IMAPS (993) or STARTTLS\n- **SNMPv1/v2** → SNMPv3 (auth + encryption)\n- **LDAP** → LDAPS (port 636) or LDAP+STARTTLS	Network Security, Secure Protocols, Legacy Risks
What port does SSH use?	**22.** Used for SSH itself plus SFTP and SCP.	Network Ports, SSH, Port 22
What port does HTTPS use?	**443.** HTTP without encryption is port 80.	Network Ports, HTTPS, Port 443
What port does SMTP use?	- **25** — server-to-server delivery\n- **587** — authenticated client-to-server submission\n- **465** — historically SMTPS (legacy)	Network Ports, SMTP, Port 25/587
What port does DNS use?	**53** — UDP for queries, TCP for zone transfers and large responses.	Network Ports, DNS, Port 53
What port does RDP use?	**3389.** Windows Remote Desktop Protocol.	Network Ports, RDP, Port 3389
What port does LDAP use?	- **389** — cleartext LDAP\n- **636** — LDAPS\n- STARTTLS can also upgrade port 389 to TLS	Network Ports, LDAP, Port 389/636
What is a SYN flood attack?	A DoS attack exploiting the TCP three-way handshake by sending many **SYN packets but never completing the handshake** (no ACK).\n\nThe target accumulates half-open connections, eventually exhausting resources.\n\n**Mitigations:** SYN cookies, rate limiting.	Network Attacks, SYN Flood, DoS
What is ARP spoofing (ARP poisoning)?	An attack where an attacker sends false ARP replies to **associate the attacker's MAC address with a legitimate IP** (often the gateway).\n\nEnables **man-in-the-middle** interception.\n\n**Mitigations:** Dynamic ARP Inspection (DAI), DHCP snooping on managed switches.	Network Attacks, ARP Poisoning, MITM
What is DNS spoofing / cache poisoning?	An attack where an attacker **injects forged DNS records** into a resolver's cache, redirecting users to malicious servers.\n\n**Mitigations:** DNSSEC (validates signatures), source-port randomization.	Network Attacks, DNS Poisoning, Cache Poisoning
What is VLAN hopping?	An attack where an attacker on one VLAN sends frames that **traverse into another VLAN**, bypassing segmentation.\n\n**Two techniques:**\n- **Switch spoofing** — negotiating a trunk\n- **Double-tagging** — nested VLAN tags\n\n**Mitigations:** disable DTP, explicit access-port configuration, don't use VLAN 1 as native VLAN.	Network Attacks, VLAN Hopping, Double Tagging
What is a DDoS attack and how does it differ from a DoS?	- **DoS** — single source overwhelms a target\n- **DDoS** — many sources (often a botnet) amplify the attack and make defense harder\n\n**DDoS attack types:**\n- **Volumetric** — bandwidth exhaustion\n- **Protocol** — state exhaustion\n- **Application-layer** — slow/targeted attacks	Network Attacks, DDoS, Botnets
What is Network Access Control (NAC)?	A system that **verifies a device's security posture** (patches, AV, configuration) before granting network access.\n\nNon-compliant devices are quarantined to a remediation network.\n\nOften integrated with 802.1X.	Network Access Control, NAC, Posture Assessment
What is the difference between site-to-site VPN and remote-access VPN?	- **Site-to-site VPN** — gateway-to-gateway tunnel connecting entire networks; users are unaware of it\n- **Remote-access VPN** — per-user, typically using a client on the laptop; provides corporate resource access from anywhere	VPN Technologies, Site-to-Site VPN, Remote Access VPN
Why is the OSI model still tested if real networks use TCP/IP?	Because the OSI model is the canonical reference for **layer-by-layer abstraction** and is the language used by security professionals to describe where architecture operate (e.g., "L7 firewall," "L3 switch").\n\nTCP/IP = implementation; OSI = conceptual analysis.	OSI Model, Network Abstraction, Security Controls
A scenario describes encrypting data between two specific servers across an untrusted network, preserving the original IP header. Which IPsec mode?	**Transport mode.** The IP header is preserved; only the payload is encrypted. Used for end-to-end host-to-host protection.	VPN Technologies, IPsec, Transport Mode
What is encapsulation in networking?	The process of **wrapping data with protocol-specific headers** as it moves down the OSI stack.\n\n- L4 → segments (TCP) or datagrams (UDP)\n- L3 → packets\n- L2 → frames\n- L1 → bits on the wire\n\nThe reverse is decapsulation.	Network Fundamentals, Encapsulation, Protocol Stack
