Question	Answer	Category
What happens during the Weaponization phase?	The attacker creates the deliverable: a malicious payload paired with an exploit (e.g., a weaponized PDF or Office document). Performed entirely on the attacker's infrastructure; **not visible to the target.**	Kill Chain
What happens during the Delivery phase?	The attacker transmits the weaponized payload to the target — via spearphishing email, watering-hole sites, USB drops, supply chain compromise, or direct exploitation of internet-exposed services.\n\n**The first phase visible to defenders.**	Kill Chain
What happens during the Exploitation phase?	The malicious code **executes** on the target system, typically by exploiting a software vulnerability or tricking a user into running it. Initial code execution.	Kill Chain
What happens during the Installation phase?	The attacker establishes **persistence** on the compromised system — installing a backdoor, scheduled task, registry run key, malicious service, or rootkit. Survives reboots.	Kill Chain
What happens during the Command and Control phase?	The compromised system establishes a **communication channel** to the attacker's infrastructure for instructions and data exfiltration. Often disguised as legitimate traffic (HTTPS, DNS tunneling).	Kill Chain
What happens during the Actions on Objectives phase?	The attacker achieves their goal — data exfiltration, encryption (ransomware), destruction, lateral movement, or long-term espionage. **The terminal phase** from the attacker's perspective.	Kill Chain
What is MITRE ATT&CK?	A knowledge base of **adversary tactics and techniques** based on real-world observations.\n\n- **Tactics** — strategic goals (e.g., Execution, Persistence, Privilege Escalation, Lateral Movement, Exfiltration)\n- **Techniques** — specific methods to achieve each tactic\n\nHeavily used in detection engineering and threat hunting.	ATT&CK
How does MITRE ATT&CK differ from the Cyber Kill Chain?	- **Kill Chain** — sequential, pre-compromise-heavy; focuses on the path TO compromise\n- **ATT&CK** — non-sequential, post-compromise-heavy; focuses on what attackers do AFTER initial access\n\n*ATT&CK is more granular; Kill Chain is more conceptual.*	ATT&CK
What is a tactic in MITRE ATT&CK?	The **strategic goal** an adversary is pursuing — for example, Persistence, Lateral Movement, Exfiltration. ATT&CK Enterprise has **14 tactics** spanning the post-compromise phase.	ATT&CK
What is a technique in MITRE ATT&CK?	A specific **method** an adversary uses to achieve a tactic. Example: Tactic = Persistence; Technique = Scheduled Task/Job. ATT&CK catalogs hundreds of techniques and sub-techniques observed in real-world incidents.	ATT&CK
What is an attack tree?	A **hierarchical diagram** that decomposes an attack goal (the root node) into subgoals and methods (child nodes). AND/OR gates determine logical relationships. Originated by Bruce Schneier in 1999. Used as an analysis tool, often within PASTA Stage 6 (Attack Modeling).	Attack Trees
What is the Diamond Model of Intrusion Analysis?	A model framing an intrusion as relationships among **four vertices:**\n\n- **Adversary** (threat actor)\n- **Capability** (tools and TTPs)\n- **Infrastructure** (delivery mechanisms — domains, IPs, accounts)\n- **Victim** (the target)\n\nEmphasizes relational analysis over sequential phases.	Diamond Model
What is VAST threat modeling?	**Visual, Agile, Simple Threat Modeling.** An agile/DevOps-oriented methodology built on automation and collaboration. Uses two model types:\n\n- **Application Threat Models** (process flows)\n- **Operational Threat Models** (data flows)\n\n*Less tested than STRIDE or PASTA but useful in CI/CD contexts.*	Methodologies
What is Trike?	An open-source threat modeling methodology focused on threats from a **defensive perspective**. Uses a Requirement Model and Implementation Model. Less mature adoption; **Tier 3 mention** on the CISSP.	Methodologies
What is the canonical SDLC phase for threat modeling?	The **Design phase.** Threat modeling should be performed before code is written, while architecture decisions can still be changed cheaply.\n\n*Iterating threat modeling at later phases is reasonable, but the initial pass belongs in design.*	SDLC
Why is performing threat modeling early in SDLC cost-effective?	Because vulnerabilities found in design cost dramatically less to fix than vulnerabilities found later:\n\n- Requirements ≈ 1×\n- Design ≈ 5×\n- Implementation ≈ 10×\n- Testing ≈ 50×\n- Production ≈ 100×\n\n*The exact multipliers vary by source, but the principle is universal.*	SDLC
What is the difference between threat modeling and risk assessment?	- **Threat modeling** — upstream, design-focused; identifying threats early to inform secure design\n- **Risk assessment** — broader and ongoing; evaluating likelihood and impact of risks across the organization\n\n*Threat modeling outputs feed into risk assessment.*	Comparison
What is software-centric threat modeling and which methodology fits it?	Starts from the **software architecture** (components, data flows, trust boundaries) and asks "what threats exist against this design?"\n\nCanonical methodology: **STRIDE** with data-flow diagrams.	Methodologies
What is risk-centric threat modeling and which methodology fits it?	Starts from **business risk** and aligns technical threats with business impact.\n\nCanonical methodology: **PASTA.** Best when executive engagement and business-aligned prioritization matter.	Methodologies
What is attack-centric threat modeling and which methodologies fit it?	Starts from the **attacker's perspective** — what goals they pursue and what paths they could take.\n\nCanonical methodologies: **attack trees** and the **Cyber Kill Chain.**	Methodologies
What is asset-centric (data-centric) threat modeling?	Starts from **specific data assets** and traces their lifecycle to identify threats.\n\nCanonical reference: **NIST SP 800-154.** Best when protecting specific high-value data sets is the priority.	Methodologies
What is the highest-yield trap distinguishing STRIDE and DREAD?	- **STRIDE** — IDENTIFIES threats by category\n- **DREAD** — RANKS threats by risk score\n\nThey are complementary, not interchangeable. "Which framework categorizes threats?" → STRIDE. "Which framework prioritizes them?" → DREAD.	Trap Patterns
A scenario describes a threat where an attacker masquerades as a legitimate user. Which STRIDE category?	**Spoofing.** Violates authentication.\n\nDefenses: strong authentication, MFA, mutual TLS, digital signatures.	Worked Examples
A scenario describes a threat where an attacker modifies a database record without authorization. Which STRIDE category?	**Tampering.** Violates integrity.\n\nDefenses: hashing, digital signatures, immutable audit logs, transactional integrity controls.	Worked Examples
A scenario describes a threat where a user denies having performed an action that the logs show they did. Which STRIDE category?	**Repudiation.** The defense is non-repudiation through audit logs, digital signatures, and secure timestamping that make the denial implausible.	Worked Examples
A scenario describes a threat where an attacker reads a confidential document. Which STRIDE category?	**Information Disclosure.** Violates confidentiality.\n\nDefenses: encryption, access controls, DLP, classification-based handling.	Worked Examples
A scenario describes a threat where an attacker overwhelms a service so it cannot respond to legitimate users. Which STRIDE category?	**Denial of Service.** Violates availability.\n\nDefenses: rate limiting, redundancy, DDoS scrubbing, capacity planning.	Worked Examples
A scenario describes a threat where a user gains administrative privileges they should not have. Which STRIDE category?	**Elevation of Privilege.** Violates authorization.\n\nDefenses: least privilege, kernel hardening, privilege separation, behavioral monitoring.	Worked Examples
What does the D in DREAD stand for and what does it ask?	**Damage potential** — how bad would the damage be if this threat were exploited? Dollars, downtime, regulatory penalties, reputational harm.	DREAD
What does the R in DREAD stand for and what does it ask?	**Reproducibility** — how easy is it to reproduce the attack? An attack that can be repeated reliably is more dangerous than one requiring unusual conditions.	DREAD
What does the E in DREAD stand for and what does it ask?	**Exploitability** — how much skill, effort, and tooling is required? An attack possible with off-the-shelf tools is more dangerous than one requiring zero-day expertise.	DREAD
What does the A in DREAD stand for and what does it ask?	**Affected users** — how many users would be impacted? Affecting all users is worse than affecting a single power user.	DREAD
What does the second D in DREAD stand for and what does it ask?	**Discoverability** — how easy is it for attackers to find this weakness? A vulnerability in public exploit databases is more dangerous than one nobody has identified yet.	DREAD
A scenario asks for the BEST framework to align threats with business priorities for executive engagement. Which?	**PASTA.** Risk-centric and business-aligned. STRIDE is too technical for executive audiences and lacks business context.	Worked Examples
A scenario asks the team to enumerate all the threats in a software design quickly during a sprint. Which?	**STRIDE.** Fast, developer-friendly, and software-centric. PASTA is too heavy for a sprint context.	Worked Examples
What is the trap of placing threat modeling in the testing phase?	**Too late.** Architectural changes are expensive at that stage and design decisions are already locked. Threat modeling belongs in **DESIGN**, before code is written. Testing validates that the threat model's mitigations were implemented correctly.	Trap Patterns
What is the role of an SDLC threat model in DevSecOps?	Iterative, automated where possible, integrated into CI/CD:\n\n- Updated when architecture changes\n- Lightweight reviews in each sprint\n- Deeper reviews on major design changes\n\nTools: Microsoft Threat Modeling Tool, OWASP Threat Dragon, IriusRisk.	SDLC
What's the relationship between an attack tree's AND gate and OR gate?	- **AND gate** — all child subgoals must succeed for the parent to succeed (multiple required steps)\n- **OR gate** — any one child subgoal is sufficient (alternative paths)\n\nUsed to model logical attack composition.	Attack Trees
Where in PASTA do attack trees typically appear?	**Stage 6 — Attack Modeling.** After threats and vulnerabilities have been analyzed, attack trees model the paths an adversary could take through the system to reach an objective.	PASTA
Why is the Cyber Kill Chain considered "incomplete" by some practitioners?	Because it focuses on the path TO compromise but says little about **post-compromise behavior** — lateral movement, persistence techniques, the broader operational lifecycle of a sustained intrusion.\n\n*MITRE ATT&CK fills that gap by cataloging post-compromise tactics and techniques.*	Kill Chain
What does the cost of fixing a vulnerability look like across SDLC phases?	- **Requirements** ≈ 1×\n- **Design** ≈ 5×\n- **Implementation** ≈ 10×\n- **Testing** ≈ 50×\n- **Production/Maintenance** ≈ 100×+\n\n*The exact multipliers vary by source, but the principle that fixing early is dramatically cheaper is universal. This is the economic argument for design-phase threat modeling.*	SDLC
