Question	Answer	Category
What is tailgating in physical security?	**Unauthorized entry** by following an authorized person through a controlled door **WITHOUT that person's consent.**\n\nThe authorized person is unaware (or socially uncomfortable closing the door). The unauthorized person exploits the authorized person's behavior.	Access Control
What is piggybacking in physical security?	**Unauthorized entry** where the authorized person **KNOWS and CONSENTS** to letting the unauthorized person through.\n\nSame physical action as tailgating but with consent. The authorized person is part of the policy violation.	Access Control
What is the high-yield distinction between tailgating and piggybacking?	The difference is **consent:**\n\n- **Tailgating** — without the authorized person's awareness or consent\n- **Piggybacking** — with their consent\n\nThe difference matters for response (training vs. discipline) and liability.	Trap Patterns
What is a mantrap (access vestibule, security portal)?	A **two-door interlocking entry system** where the first door must close and the user must be re-authenticated (or alone-person detected) before the second door opens.\n\n- Defeats both tailgating and piggybacking\n- Often combined with single-person detection (weight sensor, optical) and MFA	Access Control
What is the difference between fail-safe and fail-secure locks?	- **Fail-safe** — defaults to **UNLOCKED** on power loss; prioritizes life safety / egress\n- **Fail-secure** — defaults to **LOCKED** on power loss; prioritizes security\n\nElectric strikes can be either; magnetic locks (maglocks) are typically fail-safe by design.	Locks
A scenario describes a server room door. Should the lock be fail-safe or fail-secure?	Generally **fail-secure on the entry side, fail-safe on the exit side.**\n\n- Servers don't need to evacuate, but humans do\n- Fire codes require fail-safe egress regardless of security needs\n- Complete answer: fail-secure entry + fail-safe exit	Worked Examples
What are typical fence height tiers?	- **3-4 ft** — casual deterrent only\n- **6-7 ft** — difficult to climb (most adults)\n- **8 ft+ with three-strand topping** — serious obstacle for determined intruders\n\nHeights below 3-4 ft are decorative rather than security.	Perimeter
What is hot aisle / cold aisle datacenter cooling?	An arrangement where rack rows are oriented so:\n\n- **Cold aisles** — cold-air supply enters the front of racks\n- **Hot aisles** — hot-air exhaust exits the back\n\nContainment (curtains, doors) prevents mixing. Dramatically improves cooling efficiency over older mixed layouts.	Datacenter
What is the ASHRAE recommended temperature range for IT equipment?	**64-81°F (18-27°C)** recommended.\n\n- Higher temperatures save cooling energy but reduce equipment lifespan\n- Modern data centers often operate at 75-80°F for energy efficiency	Datacenter
What is the ASHRAE recommended humidity range for IT equipment?	**40-60% relative humidity.**\n\n- Below 40%: static electricity risk increases\n- Above 60%: condensation and corrosion risk increase\n\nBoth extremes accelerate equipment failure.	Datacenter
What is a raised floor in a datacenter?	A floor system elevated above a structural slab with removable tiles.\n\n**Provides space for:**\n- Cooling-air distribution\n- Cabling\n- Water-leak detection\n- Easy reconfiguration\n\nTypically 18-36 inches deep.	Datacenter
What does N+1 redundancy mean?	**N** = number of components needed for capacity.\n**+1** = one additional unit beyond what's needed.\n\n*Example: need 4 cooling units → N+1 = 5 (4 working, 1 spare)*\n\nThe minimum redundancy level for production datacenters.	Redundancy
What does 2N redundancy mean?	**A complete duplicate of every component.**\n\n*Example: need 4 cooling units → 2N = 8 (two independent sets of 4)*\n\nCommon in Tier IV data centers. More expensive than N+1 but tolerates more failure modes.	Redundancy
What does 2N+1 redundancy mean?	**Two complete sets PLUS one additional spare.**\n\n*Example: need 4 cooling units → 2N+1 = 9*\n\nUsed in mission-critical Tier IV facilities. Diminishing returns vs. 2N at significant cost increase.	Redundancy
What is a UPS and what is its primary purpose?	**UPS (Uninterruptible Power Supply)** — a battery-backed system providing **short-term power during utility outages** (typically minutes to tens of minutes).\n\n- Long enough for generators to start or systems to shut down gracefully\n- **NOT a long-term power solution**	Power
What is the difference between online and offline UPS?	- **Online (double-conversion)** — continuously powers the load through its battery and inverter; instant transition on failure; expensive and energy-inefficient\n- **Offline (standby)** — only switches to battery on power loss; cheaper but introduces a brief transition (~10ms)\n\nCritical loads use online; less-critical loads use offline.	Power
What is a generator's role in datacenter power?	**Long-term power** during extended utility outages.\n\n- Auto-starts when UPS detects sustained outage\n- Takes seconds-to-minutes to start, which the UPS bridges\n- Fuel storage and refueling logistics are critical for sustained outages\n\n*Hurricane Sandy is the canonical case study.*	Power
What are the canonical power problem definitions?	- **Blackout** — total loss\n- **Brownout** — sustained low voltage\n- **Sag** — brief voltage dip\n- **Surge** — brief voltage increase\n- **Spike** — instantaneous voltage spike\n- **Fault** — momentary loss with recovery\n- **Transient** — brief disturbance\n- **Inrush** — high startup current	Power
What is the difference between an ionization smoke detector and a photoelectric smoke detector?	- **Ionization** — reacts quickly to **fast, flaming fires** (paper, grease) using a small radioactive source\n- **Photoelectric** — reacts better to **slow, smoldering fires** (upholstery, electrical insulation) using light scattering\n\nNFPA recommends **combination detectors** with both technologies for full coverage.	Detection
What types of heat detectors exist and how do they differ?	- **Fixed-temperature** — triggers at a specific threshold (e.g., 135°F)\n- **Rate-of-rise** — triggers when temperature rises faster than a specified rate (e.g., 15°F/minute) regardless of starting temperature\n- **Combination** — both mechanisms\n\nHeat detectors are slower than smoke but more reliable in dirty environments.	Detection
What is a flame detector?	An optical detector sensing **UV or IR radiation** characteristic of flames.\n\n- Faster than smoke or heat detectors\n- More expensive\n- Used in critical environments: aircraft hangars, fuel storage, chemical plants	Detection
What does CCTV provide and what is its primary limitation?	**CCTV provides:** recorded video for deterrence and after-the-fact investigation.\n\n**Primary limitation:** CCTV is **detective and deterrent, NOT preventive.**\n\n- Requires human monitoring or analytics for real-time response\n- Otherwise its value is **forensic only**\n\n*Trap: treating CCTV as a preventive control.*	Surveillance
What is the recommended lighting standard for security perimeters?	Roughly **2 foot-candles minimum at 8 feet height** for parking lots and external perimeters.\n\n- Continuous lighting preferred over standby\n- Backup power for security lighting commonly required\n- Specific values vary by jurisdiction and asset criticality	Perimeter
What is a bollard?	A **short, sturdy vertical post** designed to prevent vehicle intrusion into pedestrian areas or critical infrastructure.\n\n- Concrete, steel, or hydraulically-retractable types\n- Used at building entrances, around fuel pumps, in front of glass facades	Perimeter
What is a security guard's primary advantage over automated controls?	**Judgment.** Guards can interpret ambiguous situations and respond flexibly.\n\n**Disadvantages:** cost, fatigue, fallibility, distraction, need for training and supervision.\n\n*Best as a layer alongside automation, not a replacement.*	Personnel
What is TEMPEST?	A **U.S. specification for protection against unintentional electromagnetic emissions** that could leak data from electronic equipment.\n\n**Defenses:** shielded equipment, Faraday cages, fiber-optic cabling (immune to EMI), physical separation.\n\nRelevant in classified-information processing facilities.	TEMPEST
What is a Faraday cage?	An **enclosure of conductive material** that blocks electromagnetic fields — isolating its interior from external EMI/RFI/EMP and preventing emanations from leaking out.\n\nUsed for:\n- TEMPEST-level protection\n- Secure communications rooms\n- Forensic analysis of suspect devices (to prevent remote wipe)	TEMPEST
What is the difference between EMI, RFI, and EMP?	- **EMI** — unwanted noise from electrical or magnetic sources\n- **RFI** — a subset of EMI in the radio frequency range\n- **EMP** — high-intensity short-duration electromagnetic event (lightning, nuclear detonation, deliberate weapon) that can **damage electronics**\n\nDefenses: shielding, surge protection, fiber-optic cabling.	TEMPEST
What is fiber-optic cabling's security advantage over copper?	- **Immune to EMI/RFI/EMP** — transmits light, not electricity\n- **Difficult to tap without detection** — breaking the fiber produces noticeable signal loss\n\nUsed in TEMPEST-protected environments and high-security network connections.	Cabling
What is the difference between piggybacking and shoulder surfing?	- **Piggybacking** — unauthorized **physical entry** with the authorized person's consent\n- **Shoulder surfing** — unauthorized **observation** of confidential information (passwords, screens) by looking over someone's shoulder\n\nDifferent threats, different defenses.	Access Control
What does NFPA 75 govern?	**NFPA 75** — Standard for the Fire Protection of Information Technology Equipment.\n\nSpecifies fire protection requirements for spaces housing IT equipment: detection, suppression, construction, and operations.\n\nThe canonical reference for IT-facility fire protection.	Standards
What does NFPA 76 govern?	**NFPA 76** — Standard for the Fire Protection of Telecommunications Facilities.\n\nThe telecom-specific complement to NFPA 75, covering central offices, switching facilities, and similar telecommunications environments.	Standards
What does NIST SP 800-116 govern?	Guidelines for the Use of **Personal Identity Verification (PIV) Credentials in Facility Access.**\n\nDefines how federal PIV cards integrate with Physical Access Control Systems (PACS). The federal standard for physical access.	Standards
What is the canonical priority during any disaster response?	**Life safety first. Always.**\n\nBefore data, systems, facilities, or anything else:\n- Egress\n- Headcount\n- Medical aid for injured personnel\n\nThese come before incident response, evidence preservation, or operational restoration.	Priorities
What is a maglock and what are its operational considerations?	A **magnetic lock** — an electromagnet on the door frame holds a steel plate on the door.\n\n- **Fail-safe by design** (no magnetism without power)\n- Must be paired with a **request-to-exit (RTE) sensor** and **emergency-egress button** to comply with fire codes	Locks
What is a glass type used to resist forced entry?	- **Tempered glass** — shatters into small pieces (safety but minimal intrusion resistance)\n- **Laminated glass** — plastic interlayer holds shards together; slows hammer attacks\n- **Bullet-resistant glass** — thick laminated assemblies rated to specific UL standards\n- **Polycarbonate** — functionally bulletproof at thickness\n\nSelection depends on threat model.	Materials
What is a major risk of running water-based fire suppression in a server room?	**Accidental discharge** from a damaged or malfunctioning sprinkler head.\n\nA single broken head in a wet-pipe system can dump significant water on running equipment.\n\n**Preaction systems** mitigate this by requiring two independent triggers before water is released.	Suppression
A scenario describes a small healthcare clinic hardening an after-hours secure storage area. Which CPTED principle most directly applies?	Probably **Natural Access Control** — designing the entry to channel legitimate users and visibly restrict unauthorized access.\n\nNatural Surveillance and Territorial Reinforcement may also apply. The scenario context determines the best fit.	Worked Examples
A scenario describes choosing between Halon and FM-200 for a new datacenter. Which is correct?	**FM-200.** Halon is banned for new installations by the Montreal Protocol.\n\nFM-200 (HFC-227ea) is the EPA-recommended Halon replacement and is appropriate for IT facilities. Novec 1230 and inert gases are also acceptable.	Worked Examples
A datacenter has a single utility feed and a single UPS without a generator. What's the primary risk?	Extended utility outages will exhaust the UPS in minutes-to-tens-of-minutes, after which the datacenter loses power.\n\nWithout a generator, there is **no long-term power continuity.**\n\nCombined with single utility feed: significant single points of failure.	Worked Examples
What is the difference between continuous and standby lighting in security context?	- **Continuous lighting** — always on during the protected period (dusk to dawn); deters more reliably\n- **Standby lighting** — triggered by motion detection or alarm; saves energy but is reactive; used to startle intruders or supplement continuous lighting	Perimeter
