Question	Answer	Category
What does the Bell-LaPadula Strong Star Property add?	A subject can **only read and write at exactly its own level.**\n\nCloses covert channels by preventing both read-up and write-down simultaneously.	Security Models, Bell-LaPadula, Strong Star Property
What is the goal of the Bell-LaPadula model?	To enforce **confidentiality** in a multi-level security environment.\n\n- No read up → low-cleared subjects cannot read high-classified data\n- No write down → high-cleared subjects cannot write to low-classified objects	Security Models, Bell-LaPadula, Confidentiality
What does the Biba model's Simple Integrity Property say?	**"No read down"** — a subject at integrity level L **cannot read** an object at a lower integrity level.\n\nPrevents high-integrity processes from being polluted by low-integrity data.	Security Models, Biba Model, No Read Down
What does the Biba model's Star Integrity Property say?	**"No write up"** — a subject at integrity level L **cannot write** to an object at a higher integrity level.\n\nPrevents low-integrity subjects from corrupting high-integrity data.	Security Models, Biba Model, No Write Up
What is the goal of the Biba model?	To enforce **integrity.** It is the **inverse of Bell-LaPadula:**\n\n- Bell-LaPadula: no read up, no write down (confidentiality)\n- Biba: no read down, no write up (integrity)	Security Models, Biba Model, Integrity
What is the Type 1 authentication factor?	**Something you know** — passwords, PINs, passphrases, security question answers.\n\n- Knowledge-based\n- Vulnerable to disclosure, phishing, and brute force	Multi-Factor Authentication, Something You Know, Knowledge Factors
What is the Type 2 authentication factor?	**Something you have** — smart cards, hardware tokens, USB keys, mobile authenticator apps, badges.\n\n- Possession-based\n- Vulnerable to theft, loss, or cloning	Multi-Factor Authentication, Something You Have, Possession Factors
What is the Type 3 authentication factor?	**Something you are** — fingerprints, iris/retina scans, face recognition, voice recognition, palm vein.\n\n- Inherence-based / biometric\n- Vulnerable to spoofing and physical injury	Multi-Factor Authentication, Something You Are, Inherence Factors
What is the Type 4 authentication factor and is it canonical?	**Somewhere you are** — IP address, GPS location, network segment, MAC address.\n\n**NOT canonical in the ISC2 CBK.** Often appears as an exam distractor for MFA questions.	Multi-Factor Authentication, Somewhere You Are, Location Factors
What is the Type 5 authentication factor and is it canonical?	**Something you do** — keystroke dynamics, gait, signature dynamics, behavioral biometrics.\n\n**NOT canonical in the ISC2 CBK.** Used as a distractor on MFA questions.	Multi-Factor Authentication, Something You Do, Behavioral Biometrics
What constitutes true multifactor authentication (MFA)?	Combining factors from **DIFFERENT categories:**\n\n- Password + PIN = **NOT MFA** (both Type 1)\n- Password + smart card = **MFA** (Type 1 + Type 2)\n- Smart card + fingerprint = **MFA** (Type 2 + Type 3)	Multi-Factor Authentication, MFA Principles, Factor Categories
What is False Acceptance Rate (FAR)?	The rate at which an **impostor is wrongly accepted** by a biometric system.\n\n- **Type II error**\n- A security failure\n- Lower FAR = more secure but typically higher FRR	Biometrics, False Acceptance Rate, Type II Error
What is False Rejection Rate (FRR)?	The rate at which a **legitimate user is wrongly denied** by a biometric system.\n\n- **Type I error**\n- A usability failure\n- Lower FRR = more convenient but typically higher FAR	Biometrics, False Rejection Rate, Type I Error
What is Crossover Error Rate (CER)?	Also called **Equal Error Rate (EER)** — the threshold setting at which **FAR equals FRR.**\n\nThe standard single-number measure of overall biometric accuracy.\n\n**Lower CER = more accurate system.**	Biometrics, Crossover Error Rate, Biometric Accuracy
What is the relationship between FAR and FRR?	**Inversely related** through the matching threshold:\n\n- Tightening the threshold → lower FAR (fewer impostors accepted), higher FRR (more legitimate users rejected)\n- Loosening → opposite\n\nCER is the crossover point.	Biometrics, Matching Threshold, Biometric Tuning
What are the components of the Kerberos KDC?	The **KDC (Key Distribution Center)** contains two components:\n\n1. **AS** (Authentication Server) — authenticates users and issues TGTs\n2. **TGS** (Ticket-Granting Server) — issues service tickets	Kerberos Protocol, KDC, Authentication Service
What is a TGT in Kerberos?	**TGT = Ticket-Granting Ticket** — issued by the AS after successful initial authentication.\n\n- The client presents the TGT to the TGS to request service tickets\n- No need to re-authenticate with credentials for each service\n- Encrypted with the **KDC's master key (KRBTGT)**	Kerberos Protocol, TGT, Ticket-Granting Ticket
What are the three exchanges in a Kerberos workflow?	1. **AS Exchange** — client authenticates to AS; receives TGT and session key\n2. **TGS Exchange** — client presents TGT to TGS; receives service ticket for target service\n3. **Service Exchange** — client presents service ticket plus authenticator (timestamp) to the service	Kerberos Protocol, AS Exchange, TGS Exchange
What protects Kerberos against replay attacks?	**Timestamps** (called authenticators) sent with each ticket.\n\n- Tickets have a short validity window\n- A captured ticket cannot be reused outside that window\n- Requires **synchronized clocks** across systems	Kerberos Protocol, Replay Protection, Time Synchronization
What is the primary weakness of Kerberos?	The **KDC is a single point of failure.** If the KDC is compromised, every ticket and credential in the realm is compromised.\n\nAlso requires synchronized clocks.\n\n*Note: passwords are NEVER transmitted across the network — that is a Kerberos STRENGTH, not a weakness.*	Kerberos Protocol, Single Point of Failure, KDC Security
What is SAML and what is it used for?	**SAML** (Security Assertion Markup Language) — an XML-based federation protocol for **enterprise web SSO.**\n\n- **IdP** (Identity Provider) issues a signed assertion\n- **SP** (Service Provider) consumes the assertion to grant access\n- Used for federated authentication across organization boundaries	Identity Federation, SAML 2.0, Web SSO
What is OAuth 2.0 and what is it used for?	**OAuth 2.0** — an authorization framework that allows an application to access a user's resources on a third-party service **without sharing credentials.**\n\n**OAuth 2.0 does NOT do authentication** — it delegates authorization.\n\n*Example: "Sign in with Google" to grant a third-party app access to your Google data.*	Identity Federation, OAuth 2.0, Delegated Authorization
What is OpenID Connect (OIDC) and what is it used for?	**OIDC** — an authentication layer built on top of OAuth 2.0 that adds an **ID token** so the application can verify the user's identity.\n\nProvides **authentication AND authorization.**\n\nUsed in modern consumer and enterprise SSO.	Identity Federation, OpenID Connect, OIDC
What is the most common SAML / OAuth / OIDC trap on the exam?	**Choosing OAuth when the scenario is about authentication.**\n\n- **OAuth** = authorization only (what can the app access?)\n- **OIDC** = authentication layer on OAuth (who is the user?)\n\n*If the question asks "the app needs to verify the user's identity" → OIDC, not OAuth.*	Identity Federation, OAuth 2.0, OpenID Connect
What is least privilege?	The principle that users and processes are granted **only the minimum permissions necessary** to perform their assigned tasks.\n\nReduces the blast radius of a compromised account.	IAM Principles, Least Privilege, Access Control
What is separation of duties?	The principle that **critical tasks are divided among multiple individuals** so no single person can complete a fraud-enabling chain alone.\n\n*Example: the person who initiates a wire transfer cannot also approve it.*	IAM Principles, Separation of Duties, Fraud Prevention
What is need-to-know?	Access to information is restricted to **what is necessary for the user's specific function**, even within an authorized clearance level.\n\nA Top Secret clearance does NOT grant access to every Top Secret document — only those required for the user's role.	IAM Principles, Need-to-Know, Information Security
What is the difference between least privilege and need-to-know?	- **Least privilege** — limits **permissions** (what you can DO)\n- **Need-to-know** — limits **access** (what you can SEE)\n\nThey are complementary: a user might have read permission (privilege) but only on specific records relevant to their job (need-to-know).	IAM Principles, Least Privilege, Need-to-Know
What is the difference between SSO and federation?	- **SSO** (Single Sign-On) — a user experience: one authentication grants access to multiple systems\n- **Federation** — the underlying mechanism: trust relationships between IdPs and SPs, often crossing organizational boundaries\n\nFederation enables cross-organization SSO.	Identity Management, SSO, Identity Federation
What are the phases of the identity lifecycle?	1. **Provisioning** — account creation, initial permissions (ideally automated by role)\n2. **Usage** — ongoing access and activity\n3. **Access Review / Recertification** — periodic verification that access remains appropriate\n4. **Deprovisioning** — disabling or removing access on role change or separation	IAM Lifecycle, Provisioning, Deprovisioning
What is access recertification?	A **periodic review process** where managers attest that their direct reports' access rights are still appropriate.\n\nOften required by SOX, PCI-DSS, and other compliance regimes. Typically performed quarterly or annually.	IAM Lifecycle, Access Review, Compliance
What is Privileged Access Management (PAM)?	A category of identity security solutions that **controls, monitors, and audits privileged accounts** — root, administrator, domain admin, service accounts.\n\n**Common features:**\n- Credential vaulting\n- Session recording\n- Approval workflows\n- Behavioral analytics	Privileged Access Management, PAM, Administrative Accounts
What is Just-in-Time (JIT) access?	A privileged access pattern where **elevated permissions are granted only when needed** for a specific task and **revoked automatically** after a defined time window.\n\nReduces standing privilege and shrinks the attack surface compared to always-on admin rights.	Privileged Access Management, JIT, Just-in-Time Access
What is the core principle of Zero Trust?	**"Never trust, always verify."**\n\n- No implicit trust based on network location\n- Every access decision evaluated against current context (device, user behavior, threat intel)\n- Continuous verification, microsegmentation, and least privilege at every layer\n\nCodified in **NIST SP 800-207.**	Zero Trust Architecture, ZT Principles, NIST SP 800-207
What is a pass-the-hash (PtH) attack?	An attacker captures a **password hash** from memory of a compromised host and uses it directly as authentication material — without cracking the original password.\n\n**Mitigations:** frequent password rotation, restrict privileged account use, Credential Guard, hardened admin workstations.	IAM Attacks, Pass-the-Hash, NTLM Security
What is a credential stuffing attack?	An attacker uses **lists of username/password pairs from prior breaches** against many sites, exploiting password reuse.\n\nDistinct from brute force (which generates guesses).\n\n**Mitigations:** MFA, breach-credential monitoring (HaveIBeenPwned), rate limiting.	IAM Attacks, Credential Stuffing, Password Reuse
What is a brute force attack?	An attacker **systematically tries every possible password** until the correct one is found.\n\n**Mitigations:** long credentials, key stretching (PBKDF2/bcrypt/scrypt/Argon2), account lockouts, rate limiting.	IAM Attacks, Brute Force, Password Cracking
What is a replay attack and how does Kerberos defend against it?	An attacker captures a valid authentication exchange and **replays it** to gain unauthorized access.\n\nKerberos defends with **timestamps inside authenticators** and **short ticket lifetimes**; a captured ticket is rejected once the timestamp window expires.	IAM Attacks, Replay Attack, Kerberos Security
What is a session hijacking attack in an SSO context?	An attacker **steals or guesses a valid session token** (cookie, SAML assertion, OIDC ID token) and reuses it to impersonate the user.\n\n**Mitigations:** short token lifetimes, secure cookie flags (HttpOnly, Secure, SameSite), token binding, re-authentication for sensitive operations.	IAM Attacks, Session Hijacking, SSO Vulnerabilities
What is a federated identity provider (IdP)?	The party in a federation that **authenticates the user and issues identity assertions or tokens.**\n\n*Examples: Microsoft Entra ID (Azure AD), Okta, Ping Identity*\n\nThe Service Provider (SP) trusts the IdP and consumes its assertions.	Identity Federation, Identity Provider, IdP
What is the difference between authentication and authorization?	- **Authentication** — "who are you?" (proving identity)\n- **Authorization** — "what are you allowed to do?" (granting or denying access to resources)\n\nAuthentication always precedes authorization in every access decision.	IAM Fundamentals, Authentication, Authorization
Why are smart cards considered Type 2 even though they store cryptographic keys?	Because the user's **possession of the card** is what proves identity to the reader — **what you HAVE.**\n\nThe cryptographic operations performed by the card are the mechanism, but the factor category is determined by what you physically present.	Multi-Factor Authentication, Something You Have, Smart Cards
What is the Clark-Wilson integrity model?	An integrity model emphasizing **well-formed transactions and separation of duties.**\n\n- Subjects access objects only through **Transformation Procedures (TPs)**\n- **CDIs** (Constrained Data Items) — protected data\n- **UDIs** (Unconstrained Data Items) — unprotected input\n\nLess frequently tested than Biba; usually appears as a distractor.	Security Models, Clark-Wilson, Integrity
What is the Brewer-Nash (Chinese Wall) model?	A model that **prevents conflicts of interest** by dynamically restricting access based on the user's prior access history.\n\nOnce a user accesses data from one company in a conflict-of-interest set, they are barred from accessing data from competing companies in that set.\n\n*Tier 3 mention.*	Security Models, Brewer-Nash, Chinese Wall Model
